title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Nash Bridges,2021,Jessie Street between 6th Street and Mint,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.4074094 37.7824123),6,2024-12-18T14:30:38.000,South of Market,-122.4074094,2024-12-06T12:17:47.000,37.7824123
Vegas in Space,1992,3567 18th Street,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,CA,San Francisco,POINT (-122.4230891 37.761516),9,2024-12-18T14:30:38.000,Mission,-122.4230891,2024-12-06T12:17:47.000,37.761516
Sense8 - Season 2,2016,Mission Creek Harbor along Channel St.,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.3941616 37.7734603),6,2024-12-18T14:30:38.000,Mission Bay,-122.3941616,2024-12-06T12:17:47.000,37.7734603
180,2011,555 Market St.,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,CA,San Francisco,POINT (-122.3998704 37.7899845),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3998704,2024-12-06T12:17:47.000,37.7899845
Bullitt,1968,"Candlestick Park Exit, Highway 101",,Warner Brothers / Seven Arts Seven Arts,Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Ant-Man and the Wasp: Quantumania,2023,Central Police Station 766 Vallejo Street,,Pym Particles Production III LLC,Walt Disney Studios Motion Pictures,Peyton Reed,Jeff Loveness,Paul Rudd,Evangeline Lilly,Jonathan Majors,CA,San Francisco,POINT (-122.4099386 37.7987411),3,2024-12-18T14:30:38.000,Chinatown,-122.4099386,2024-12-06T12:17:47.000,37.7987411
The Last Thing He Told Me,2023,Chestnust Street at Steiner,,20th Television,Apple TV+,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer, Lila Neugebauer",Laura Dave,Jennifer Garner,Angourie Rice,Aisha Tyler,CA,San Francisco,POINT (-122.4379123 37.8006219),2,2024-12-18T14:30:38.000,Marina,-122.4379123,2024-12-06T12:17:47.000,37.8006219
"Play it Again, Sam",1972,Balboa at 22nd Avenue,,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,CA,San Francisco,POINT (-122.4812701 37.776455),1,2024-12-18T14:30:38.000,Outer Richmond,-122.4812701,2024-12-06T12:17:47.000,37.776455
The Presidio,1988,Battery Street (The Embarcadero),,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.4008359 37.7974666),3,2024-12-18T14:30:38.000,Chinatown,-122.4008359,2024-12-06T12:17:47.000,37.7974666
The OA Part II,2019,"Red's Java House (Pier 30-32, The Embarcadero)",,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.3874201 37.7872065),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3874201,2024-12-06T12:17:47.000,37.7872065
The Matrix Resurrections,2021,California at Grant Ave,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.4059509 37.7924672),3,2024-12-18T14:30:38.000,Chinatown,-122.4059509,2024-12-06T12:17:47.000,37.7924672
Blue Jasmine,2013,Aub Zam Zam Bar,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.4493528 37.7695639),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.4493528,2024-12-06T12:17:47.000,37.7695639
The Diary of a Teenage Girl,2015,Tonic,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.4233722 37.7794028),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4233722,2024-12-06T12:17:47.000,37.7794028
Woman on the Run,1950,Cable Car Signal Box (California Street at Powell Street),SF Cable Cars are the only moving National Historical Landmark.,Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,Dennis O'Keefe,Robert Keith,CA,San Francisco,POINT (-122.40934 37.791952),3,2024-12-18T14:30:38.000,Nob Hill,-122.40934,2024-12-06T12:17:47.000,37.791952
Time After Time,1979,"Ghirardelli Square (900 North Point Street, Fisherman's Wharf)","In 1893, chocolatier Domingo Ghirardelli bought an entire city block to house the headquarters of Ghirardelli Chocolates.",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.4226335 37.8055598),2,2024-12-18T14:30:38.000,Russian Hill,-122.4226335,2024-12-06T12:17:47.000,37.8055598
Big Sur,2013,"Tosca Café (242 Columbus Avenue, North Beach)",,3311 Productions,,Michael Polish,Jack Kerouac & Michael Polish,Josh Lucas,Kate Bosworth,Stana Katic,CA,San Francisco,POINT (-122.406019 37.7975646),3,2024-12-18T14:30:38.000,North Beach,-122.406019,2024-12-06T12:17:47.000,37.7975646
Faces of Death,1978,,,F.O.D Productions,Aquarius Releasing,Conan Le Cilaire,Alan Black,Michael Carr,,,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
Nash Bridges,2021,"Pier 9, at Autodesk",,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.3974229 37.8001877),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3974229,2024-12-06T12:17:47.000,37.8001877
Burglar,1987,1627 Haight Street,,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,,CA,San Francisco,POINT (-122.4492093 37.7695853),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.4492093,2024-12-06T12:17:47.000,37.7695853
"Looking ""Special""",2016,"The Stud, 399 9th Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4099831 37.7728134),6,2024-12-18T14:30:38.000,South of Market,-122.4099831,2024-12-06T12:17:47.000,37.7728134
Quitters,2015,21st St & Sanchez,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,CA,San Francisco,POINT (-122.4301214 37.7563756),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4301214,2024-12-06T12:17:47.000,37.7563756
Sense8,2015,Folsom,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.4149402 37.7612212),9,2024-12-18T14:30:38.000,Mission,-122.4149402,2024-12-06T12:17:47.000,37.7612212
Hereafter,2010,The Final Final (2990 Baker Street),,GT Films,Warner Bros. Pictures,Clint Eastwood,Peter Morgan,Matt Damon,Cecile De France,,CA,San Francisco,POINT (-122.4457286 37.7985232),2,2024-12-18T14:30:38.000,Marina,-122.4457286,2024-12-06T12:17:47.000,37.7985232
Sense8 - Season 2,2016,"Grace Cathedral, 1100 California St.","Martin Luther King, Jr. gave a sermon at the cathedral to celebrate the completion and consecration of the church in 1964.","Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.4133739 37.7918593),3,2024-12-18T14:30:38.000,Nob Hill,-122.4133739,2024-12-06T12:17:47.000,37.7918593
Blue Jasmine,2013,5546 Geary Ave,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.4791515 37.780586),1,2024-12-18T14:30:38.000,Outer Richmond,-122.4791515,2024-12-06T12:17:47.000,37.780586
Mother,1996,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Paramount Pictures,Paramount Pictures,Albert Brooks,Albert Brooks,Albert Brooks,Debbie Reynolds,,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
The Rock,1996,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,CA,San Francisco,POINT (-122.4192417 37.779275),5,2024-12-18T14:30:38.000,Tenderloin,-122.4192417,2024-12-06T12:17:47.000,37.779275
Looking,2014,Golden Gate Park,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.482977 37.7689203),4,2024-12-18T14:30:38.000,Golden Gate Park,-122.482977,2024-12-06T12:17:47.000,37.7689203
The Diary of a Teenage Girl,2015,Hamburger Haven,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.4678211 37.7829633),1,2024-12-18T14:30:38.000,Inner Richmond,-122.4678211,2024-12-06T12:17:47.000,37.7829633
Nash Bridges,2021,The Embarcadero at Broadway,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.3975781 37.7993119),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3975781,2024-12-06T12:17:47.000,37.7993119
Boys and Girls,2000,Aquatic Park (Jefferson Street),"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.4235663 37.8064162),2,2024-12-18T14:30:38.000,Russian Hill,-122.4235663,2024-12-06T12:17:47.000,37.8064162
The Love Bug,1968,100 Block of Lombard Street,Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Dean Jones,Michele Lee,David Tomlinson,CA,San Francisco,POINT (-122.4033778 37.8040426),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4033778,2024-12-06T12:17:47.000,37.8040426
Etruscan Smile,2017,Broadway @ Jones Streets,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4152084 37.7968006),3,2024-12-18T14:30:38.000,Nob Hill,-122.4152084,2024-12-06T12:17:47.000,37.7968006
Vertigo,1958,Gough & Eddy Streets (Western Addition),,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,CA,San Francisco,POINT (-122.4241318 37.7824801),2,2024-12-18T14:30:38.000,Western Addition,-122.4241318,2024-12-06T12:17:47.000,37.7824801
Invasion of the Body Snatchers,1978,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,CA,San Francisco,POINT (-122.4048082 37.7944675),3,2024-12-18T14:30:38.000,Chinatown,-122.4048082,2024-12-06T12:17:47.000,37.7944675
Chance- Season 1 ep109,2016,2 Rowland,,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4044379 37.7977448),3,2024-12-18T14:30:38.000,North Beach,-122.4044379,2024-12-06T12:17:47.000,37.7977448
Venom: Let There Be Carnage,2021,238 Columbus,,SM Film Productions,Sony Pictures,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson,CA,San Francisco,POINT (-122.4059214 37.797493),3,2024-12-18T14:30:38.000,North Beach,-122.4059214,2024-12-06T12:17:47.000,37.797493
Foul Play,1978,"Asian Art Museum (200 Larkin Street, Civic Center)",The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.4161985 37.7801637),5,2024-12-18T14:30:38.000,Tenderloin,-122.4161985,2024-12-06T12:17:47.000,37.7801637
Magnum Force,1973,18th Street Overpass (Potrero Hill),,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,CA,San Francisco,POINT (-122.4161079 37.7620451),9,2024-12-18T14:30:38.000,Mission,-122.4161079,2024-12-06T12:17:47.000,37.7620451
Dirty Harry,1971,Hall of Justice (850 Bryant Street),,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.4041754 37.7761709),6,2024-12-18T14:30:38.000,South of Market,-122.4041754,2024-12-06T12:17:47.000,37.7761709
Beautiful Boy,2018,Ohloff Recovery Center (601 Steiner St),,Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,CA,San Francisco,POINT (-122.433055 37.774868),5,2024-12-18T14:30:38.000,Hayes Valley,-122.433055,2024-12-06T12:17:47.000,37.774868
Looking Season 2 ep 206,2015,1890 Clay Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4238729 37.7922528),2,2024-12-18T14:30:38.000,Pacific Heights,-122.4238729,2024-12-06T12:17:47.000,37.7922528
The OA Part II,2019,Washington at Taylor St - Jackson St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4128965 37.7942941),3,2024-12-18T14:30:38.000,Nob Hill,-122.4128965,2024-12-06T12:17:47.000,37.7942941
Time After Time,1979,2340 Francisco Street,,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.4439182 37.8010651),2,2024-12-18T14:30:38.000,Marina,-122.4439182,2024-12-06T12:17:47.000,37.8010651
Chance- Season 1 ep102,2016,Westin St. Francis,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4087648 37.7876827),3,2024-12-18T14:30:38.000,Tenderloin,-122.4087648,2024-12-06T12:17:47.000,37.7876827
The Net,1995,Montgomery & Market Streets,,Columbia Pictures Corp.,Columbia Pictures,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,,CA,San Francisco,POINT (-122.4019961 37.7888143),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4019961,2024-12-06T12:17:47.000,37.7888143
Looking Season 2 ep 202,2015,770 Haight Street,"This home was also used in MILK, Big Sur and Diary of a Teenage Girl","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.43489 37.771831),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.43489,2024-12-06T12:17:47.000,37.771831
Getting Even with Dad,1994,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,CA,San Francisco,POINT (-122.3857003 37.7135483),10,2024-12-18T14:30:38.000,Bayview Hunters Point,-122.3857003,2024-12-06T12:17:47.000,37.7135483
So I Married an Axe Murderer,1993,Rocco's Corner (Columbus Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,CA,San Francisco,POINT (-122.4147089 37.8032738),3,2024-12-18T14:30:38.000,Russian Hill,-122.4147089,2024-12-06T12:17:47.000,37.8032738
Alcatraz,2012,Francisco St from Larkin to Polk,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
The Woman In Red,1984,Brocklebank Apartments (1000 Mason Street),,Orion Pictures Corp.,MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,,CA,San Francisco,POINT (-122.4106579 37.7931077),3,2024-12-18T14:30:38.000,Nob Hill,-122.4106579,2024-12-06T12:17:47.000,37.7931077
Shang-Chi and the Legend of the Ten Rings,2021,"Bush between Hyde and Kearny, Sutter between Hyde and Kearny",,Freelance Restorations LLC,Disney/Marvel,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina,CA,San Francisco,POINT (-122.4170528 37.7882309),3,2024-12-18T14:30:38.000,Nob Hill,-122.4170528,2024-12-06T12:17:47.000,37.7882309
Venom,2018,Larkin St btwn Post and Geary,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.4179399 37.7870203),3,2024-12-18T14:30:38.000,Tenderloin,-122.4179399,2024-12-06T12:17:47.000,37.7870203
Star Trek IV: The Voyage Home,1986,North Beach,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,CA,San Francisco,POINT (-122.4089071 37.7994612),3,2024-12-18T14:30:38.000,North Beach,-122.4089071,2024-12-06T12:17:47.000,37.7994612
The Conversation,1974,Union Square,"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"".",American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,CA,San Francisco,POINT (-122.4066183 37.787552),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4066183,2024-12-06T12:17:47.000,37.787552
Chance- Season 1 ep104,2016,11 San Jacinto Ave.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4632436 37.7353289),7,2024-12-18T14:30:38.000,West of Twin Peaks,-122.4632436,2024-12-06T12:17:47.000,37.7353289
Foul Play,1978,Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.3944936 37.7641057),10,2024-12-18T14:30:38.000,Potrero Hill,-122.3944936,2024-12-06T12:17:47.000,37.7641057
Chance Season 2,2017,"Taylor St, north of Jefferson St to end",,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4155073 37.8083487),3,2024-12-18T14:30:38.000,North Beach,-122.4155073,2024-12-06T12:17:47.000,37.8083487
"Smile Again, Jenny Lee",2015,E Tutto Qua Restaurant (270 Columbus St.),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.4062859 37.7977712),3,2024-12-18T14:30:38.000,North Beach,-122.4062859,2024-12-06T12:17:47.000,37.7977712
Godzilla,2014,Embarcadero & Washington,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.3952588 37.7967391),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3952588,2024-12-06T12:17:47.000,37.7967391
Godzilla,2014,Bush & Kearny,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.4040705 37.7907733),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4040705,2024-12-06T12:17:47.000,37.7907733
Chance- Season 1 ep103,2016,Laguna Honda Hospital,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4568847 37.7490613),7,2024-12-18T14:30:38.000,Twin Peaks,-122.4568847,2024-12-06T12:17:47.000,37.7490613
The Diary of a Teenage Girl,2015,SPECS' Twelve Adler Museum Café,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.4060249 37.7976453),3,2024-12-18T14:30:38.000,North Beach,-122.4060249,2024-12-06T12:17:47.000,37.7976453
Ant-Man,2015,601 Buena Vista Ave West at Java St.,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,CA,San Francisco,POINT (-122.443956 37.7669343),8,2024-12-18T14:30:38.000,Haight Ashbury,-122.443956,2024-12-06T12:17:47.000,37.7669343
The Last Black Man in San Francisco,2019,959 South Van Ness Ave,,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.4164573 37.7578291),9,2024-12-18T14:30:38.000,Mission,-122.4164573,2024-12-06T12:17:47.000,37.7578291
The Competition,1980,Pier 39,,Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Amy Irving,Lee Remick,CA,San Francisco,POINT (-122.409821 37.808673),3,2024-12-18T14:30:38.000,North Beach,-122.409821,2024-12-06T12:17:47.000,37.808673
Chance - Season 1 Pilot,2016,"Jonell's Bar, 401 Ellis",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4129143 37.7847543),5,2024-12-18T14:30:38.000,Tenderloin,-122.4129143,2024-12-06T12:17:47.000,37.7847543
Pushing Dead,2016,Church Street MUNI Station,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.4285879 37.7678965),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4285879,2024-12-06T12:17:47.000,37.7678965
Dawn of the Planet of the Apes,2014,California & Powell,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,CA,San Francisco,POINT (-122.4091939 37.7920536),3,2024-12-18T14:30:38.000,Nob Hill,-122.4091939,2024-12-06T12:17:47.000,37.7920536
Surface,2022,Powell Street at Geary,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.4082534 37.7873806),3,2024-12-18T14:30:38.000,Tenderloin,-122.4082534,2024-12-06T12:17:47.000,37.7873806
Freebie and the Bean,1974,Twin Peaks,"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area ""called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,CA,San Francisco,POINT (-122.4476845 37.7544066),7,2024-12-18T14:30:38.000,Twin Peaks,-122.4476845,2024-12-06T12:17:47.000,37.7544066
The Phone/Jexi,2019,Regency Ballroom - 1290 Sutter St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4214133 37.7878701),3,2024-12-18T14:30:38.000,Nob Hill,-122.4214133,2024-12-06T12:17:47.000,37.7878701
Always Be My Maybe,2019,Palace of Fine Arts (3301 Lyon Street),,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,CA,San Francisco,POINT (-122.4491285 37.8026694),2,2024-12-18T14:30:38.000,Marina,-122.4491285,2024-12-06T12:17:47.000,37.8026694
A Taiwanese Tale of Two Cities,2018,Waverly Place,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.4068458 37.7942041),3,2024-12-18T14:30:38.000,Chinatown,-122.4068458,2024-12-06T12:17:47.000,37.7942041
Star Trek IV: The Voyage Home,1986,Intersection of Columbus & Kearney Streets,,Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,CA,San Francisco,POINT (-122.4055929 37.7972383),3,2024-12-18T14:30:38.000,North Beach,-122.4055929,2024-12-06T12:17:47.000,37.7972383
Looking Season 2 ep 208,2015,2450 Harrison Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4126175 37.758168),9,2024-12-18T14:30:38.000,Mission,-122.4126175,2024-12-06T12:17:47.000,37.758168
Need For Speed,2014,Powell St. from Geary to Sacramento,,"Need For Speed Productions, LLC",Walt Disney Studios Motion Pictures,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,CA,San Francisco,POINT (-122.4086079 37.7873909),3,2024-12-18T14:30:38.000,Tenderloin,-122.4086079,2024-12-06T12:17:47.000,37.7873909
